,Disease,Symptom
112,obesity morbid,"['out of breath', 'sedentary', 'angina pectoris', 'cough', 'unhappy', 'labored breathing', 'hypothermia, natural', 'dyspnea', 'hematocrit decreased', 'wheezing', 'hypoxemia', 'renal angle tenderness', 'feels hot/feverish']"
113,pneumonia aspiration,"['mediastinal shift', 'fever', 'clonus', 'mental status changes', 'decreased translucency', 'unresponsiveness', 'extreme exhaustion', 'stupor', 'seizure', 'transaminitis', 'hemiplegia', 'cough', 'gurgle', 'pain', 'diarrhea', 'pain abdominal']"
114,obesity,"['pain', 'catatonia', 'snore', 'pain chest', 'r wave feature', 'has religious belief', 'shortness of breath', 'fatigue', 'tired', 'overweight', 'systolic murmur', 'mood depressed', 'ecchymosis']"
115,affect labile,"['extreme exhaustion', 'sleeplessness', 'enuresis', 'patient non compliance', 'feeling hopeless', 'hallucinations visual', 'bedridden', 'bedridden', 'prostatism']"
116,paranoia,"['hallucinations auditory', 'hallucinations visual', 'agitation', 'irritable mood', 'verbal auditory hallucinations', 'feeling suicidal', 'suicidal', 'terrify', 'neologism', 'homelessness', 'energy increased', 'mood depressed', 'decompensation', 'cicatrisation', 'scar tissue', 'blackout', 'loose associations']"
117,ischemia,"['drowsiness', 'sleepy', 'pain chest', 'angina pectoris', 'pressure chest', 'chest discomfort', 'shortness of breath', 'dyspnea', 'sinus rhythm', 'bradycardia', 'sweat', 'sweating increased', 'rale', 'asymptomatic', 'anorexia']"
118,cholecystitis,"['moan', 'nausea', 'pain abdominal', ""Murphy's sign"", 'flatulence', 'colic abdominal', 'pain', 'ascites', 'diarrhea', 'qt interval prolonged', 'cardiovascular finding', 'cardiovascular event', 'groggy', 'sinus rhythm', 'gasping for breath', 'constipation', 'feces in rectum', 'abnormally hard consistency']"
119,pancreatitis,"['vomiting', 'pain abdominal', 'nausea', 'pain', 'diarrhea', 'stool color yellow', 'rigor - temperature-associated observation', 'apyrexial', 'sore to touch']"
120,transient ischemic attack,"['speech slurred', 'dysarthria', 'facial paresis', 'asthenia', 'neck stiffness', 'vertigo', 'numbness', 'lightheadedness', 'extrapyramidal sign', ""Stahli's line"", 'vision blurred', 'headache', 'room spinning', 'syncope', 'difficulty', 'rambling speech', 'clumsiness']"
121,acquired immuno-deficiency syndrome,"['fever', 'night sweat', 'spontaneous rupture of membranes', 'cough', '', 'decreased body weight', 'chill', 'diarrhea', 'pleuritic pain', 'patient non compliance', 'tachypnea', 'productive cough', 'muscle hypotonia', 'hypotonic', 'feeling suicidal']"
122,hyperbilirubinemia,"['cyanosis', 'tachypnea', 'para 1', 'bradycardia', 'breech presentation', 'cushingoid facies', 'cushingoid\xa0habitus', 'cough', 'myalgia']"
123,carcinoma colon,"['lesion', 'prostatism', 'constipation', 'general discomfort', 'diarrhea', 'pain abdominal', 'urinary hesitation', 'dizzy spells', 'shooting pain', 'bradycardia', 'vomiting', 'systolic ejection murmur', 'nausea', 'hyperemesis', 'polydypsia']"
124,paroxysmal dyspnea,"['orthopnea', 'shortness of breath', 'dyspnea on exertion', 'jugular venous distention', 'rale', 'pain chest', 'palpitation', 'sweat', 'sweating increased', 'weight gain', 'cough', 'dyspnea']"
125,tonic-clonic epilepsy,"['drowsiness', 'lip smacking', 'myoclonus', 'tremor', 'phonophobia', 'rolling of eyes', 'sleepy', 'hirsutism', 'moody', 'muscle twitch', 'unresponsiveness', 'headache', 'ambidexterity', 'absences finding', 'spasm', 'decreased body weight', 'tumor cell invasion']"
126,aphasia,"['clonus', 'egophony', 'facial paresis', 'aphagia', 'muscle twitch', 'paralyse', 'low back pain', 'charleyhorse']"
127,failure heart congestive,"['shortness of breath', 'orthopnea', 'jugular venous distention', 'rale', 'dyspnea', 'cough', 'wheezing']"
128,anxiety state,"['worry', 'feeling suicidal', 'suicidal', 'sleeplessness', 'feeling hopeless', 'irritable mood', 'tremor', 'blackout', 'weepiness', 'has religious belief', 'nervousness', 'hallucinations visual', 'formication', 'difficulty', 'pain chest', 'patient non compliance', 'agitation', 'palpitation', 'hallucinations auditory', 'mood depressed', 'hot flush', 'pain', 'consciousness clear', 'nightmare']"
129,tachycardia sinus,"['left\xa0atrial\xa0hypertrophy', 'sweat', 'sweating increased', 'alcohol binge episode', 'pressure chest', 'scar tissue', 'cardiovascular finding', 'cardiovascular event', 'orthostasis', 'shortness of breath', 't wave inverted', 'vomiting', 'pain abdominal']"
130,carcinoma prostate,"['hematuria', 'dysesthesia', 'asthenia', 'polymyalgia', 'passed stones', 'pleuritic pain', 'guaiac positive', 'rale', 'breath sounds decreased', 'urge incontinence', 'dysuria', 'diarrhea', 'vertigo', 'qt interval prolonged', 'ataxia', 'paresis', 'hemianopsia homonymous', 'tumor cell invasion', 'hemodynamically stable', 'mass of body structure', 'rhonchus', 'orthostasis', 'decreased body weight']"
131,asthma,"['wheezing', 'cough', 'shortness of breath', 'chest tightness', 'non-productive cough', 'pleuritic pain', 'productive cough', 'symptom aggravating factors', 'distress respiratory']"
132,hiv infections,"['fever', 'night sweat', 'spontaneous rupture of membranes', 'cough', '', 'decreased body weight', 'chill', 'diarrhea', 'pleuritic pain', 'patient non compliance', 'tachypnea', 'productive cough', 'muscle hypotonia', 'hypotonic', 'feeling suicidal']"
133,hyperlipidemia,"['pain chest', 'angina pectoris', 'palpitation', 'presence of q wave', 'photopsia', 'sweat', 'sweating increased', 'chest discomfort', 'shortness of breath', 'giddy mood', 'hypokinesia', 'hemiplegia', 'dizziness']"
134,tonic-clonic seizures,"['drowsiness', 'lip smacking', 'myoclonus', 'tremor', 'phonophobia', 'rolling of eyes', 'sleepy', 'hirsutism', 'moody', 'muscle twitch', 'unresponsiveness', 'headache', 'ambidexterity', 'absences finding', 'spasm', 'decreased body weight', 'tumor cell invasion']"
135,malignant neoplasm of breast,"['mass in breast', 'mass of body structure', 'paresthesia', 'retropulsion', 'erythema', 'difficulty', 'lesion', 'estrogen use', 'burning sensation', 'dyspnea', 'swelling', 'formication']"
136,lymphatic diseases,"['pain', 'mass of body structure', 'night sweat', 'splenomegaly', 'lesion', 'chill', 'decreased body weight', 'swelling', 'fever', 'hyperacusis', 'fremitus', 'non-productive cough', 'egophony', 'redness', 'hepatomegaly', 'fatigue']"
137,bipolar disorder,"['feeling suicidal', 'energy increased', 'suicidal', 'irritable mood', 'agitation', 'has religious belief', 'disturbed family', 'hallucinations auditory', 'verbal auditory hallucinations', 'weepiness', 'behavior hyperactive', 'catatonia', 'feeling hopeless', 'worry', 'sleeplessness', 'hypersomnia', 'difficulty', 'hallucinations visual', 'hyperhidrosis disorder', 'mydriasis', 'extrapyramidal sign', 'loose associations', 'intoxication', 'motor retardation', 'homelessness', 'blackout', 'tremor', 'exhaustion']"
138,hemorrhoids,"['haemorrhage', 'bowel sounds decreased', 'decreased stool caliber', 'nausea and vomiting', 'hunger', 'diarrhea', 'dizziness', 'hyponatremia', 'clonus', 'pain', 'achalasia', 'burning sensation', 'guaiac positive', 'numbness of hand', 'wheezing', 'cough']"
139,pneumothorax,"['dyspnea', 'cardiovascular finding', 'cardiovascular event', 'haemoptysis', 'cough', 'hypercapnia', 'soft tissue swelling', 'prostatism', 'agitation']"
140,hepatitis C,"['ascites', 'distended abdomen', 'feeling suicidal', 'cough', 'ache', 'macerated skin', 'heavy feeling', 'hallucinations auditory', 'chill', 'asterixis', 'patient non compliance']"
141,osteoporosis,"['prostatism', 'fall', 'hirsutism', 'sniffle', 'distended abdomen', 'vertigo', 'numbness of hand', 'bradykinesia', 'pain', 'syncope', 'out of breath', 'apyrexial', 'urge incontinence', 'lightheadedness']"
142,upper respiratory infection,"['cough', 'throat sore', 'wheezing', 'shortness of breath', 'labored breathing', 'fever', 'stuffy nose', 'non-productive cough', 'snuffle', 'indifferent mood', 'egophony', 'barking cough', 'polymyalgia', 'pleuritic pain', 'night sweat', 'dyspnea', 'productive cough', 'decreased translucency', 'rhonchus', 'rapid shallow breathing', 'apyrexial', 'noisy respiration', 'nasal discharge present', 'emphysematous change', 'frail', 'cystic lesion', 'symptom aggravating factors', 'hemodynamically stable']"
143,pneumonia,"['cough', 'fever', 'decreased translucency', 'shortness of breath', 'rale', 'productive cough', 'pleuritic pain', 'yellow sputum', 'breath sounds decreased', 'chill', 'rhonchus', 'green sputum', 'non-productive cough', 'wheezing', 'haemoptysis', 'distress respiratory', 'tachypnea', 'malaise', 'night sweat']"
144,gastritis,"['heme positive', 'pain abdominal', 'vomiting', 'disequilibrium', 'nausea', 'intoxication', 'haemorrhage', 'guaiac positive', 'pain', 'decreased body weight', 'sore to touch', 'dizziness']"
145,incontinence,"['paraparesis', 'seizure', 'asthenia', 'urge incontinence', 'unconscious state', 'aura', 'moody', 'fear of falling', 'tremor', 'spasm', 'unhappy', 'syncope', 'fall', 'stiffness', 'unresponsiveness']"
146,carcinoma of lung,"['lesion', 'cough', 'lung nodule', 'shortness of breath', 'haemoptysis', 'debilitation', 'gurgle', 'ache', 'rale', 'night sweat', 'decreased translucency', 'asthenia', 'metastatic lesion', 'agitation', 'irritable mood']"
147,benign prostatic hypertrophy,"['mental status changes', 'cachexia', 'blackout', 'orthostasis', 'orthopnea', 'night sweat', 'distress respiratory', 'anorexia', 'dysarthria']"
148,septicemia,"['fever', 'distress respiratory', 'hypotension', 'tachypnea', 'chill', 'lethargy', 'bradycardia', 'breech presentation', 'cyanosis', 'spontaneous rupture of membranes', 'haemorrhage', 'unresponsiveness', 'rale', 'apyrexial']"
